utterance_id,transcript
UCqhOC3lFQV17UcTdHVhUwow-2ubJ_lOlAw4-seg000008,9D. Painted Desert. And 9A.
UCqhOC3lFQV17UcTdHVhUwow-67aofxDjdOU-seg000001,"I don't even know. I'll show you. Maybe you can figure this out."
UCqhOC3lFQV17UcTdHVhUwow-BOhAzbSCS2E-seg000008,I might actually have a gaming night with the kids. I reckon we might pull
UCZz58phVC9FWtYfcdd_IrOw-AcWZcVz_TdE-seg000005,of your charger so start saving a little bit of room and traveling a little
UCZz58phVC9FWtYfcdd_IrOw-DyOmyXhYjcE-seg000002,"you know, the GoPro can be, you know, either gender, men, women. I mean, this is just a"
UCZz58phVC9FWtYfcdd_IrOw-naUyElrd8s4-seg000004,"Friday night is always pizza night in this house, so let's"
UCI__mod_SOk7w1oTG9jvwDg-8jamAMgRsS8-seg000002,what's going on guys and welcome back to a new video for those of you that are new to the channel
UCI__mod_SOk7w1oTG9jvwDg-GYSv0ig1Xow-seg000002,thisworks.tm I will try and find it but like I said just
UCI__mod_SOk7w1oTG9jvwDg-vHtYjqOrzno-seg000005,the ones that you know can be optimized
UCqwLHNFtrOjrOC3CnvviS1g-FfmAXS57wHY-seg000004,So this is what if you want to do
UCqwLHNFtrOjrOC3CnvviS1g-WFOxhIoHAhY-seg000004,"and field headers also, if you put it on it, you will find it. So the report is like this."
UCqwLHNFtrOjrOC3CnvviS1g-ryNJOzsm71c-seg000008,"I don't need all of them, but all of them need content."
UChyS0pZKG5Qa_8UqDMp8hhg-3BT71qALFZU-seg000011,of enjoyment as long as you're not sinning and you're not going against the Lord. I'm not getting like...
UChyS0pZKG5Qa_8UqDMp8hhg-Kli_JCb6KXY-seg000009,slash vlogging video room and I'm just revamping it
UChyS0pZKG5Qa_8UqDMp8hhg-S-1UsB6STo8-seg000005,am just doing a little one two three check right in front of the lights the lighting was good want to make sure my
